tweet_id,tweet,date,label
1606767075984375808,Berk Ali (kedim) seni çok özledim. Ölmek için daha küçücüktün. Seni seviyorum oğlum ve hep sevicem.,2022-12-24 21:41:37+00:00,1
1537178207677448193,"Yani, öylesine ciddiye alacaksın ki yaşamayı, yetmişinde bile, mesela, zeytin dikeceksin. Hem de öyle çocuklara falan kalır diye değil, ölmekten korktuğun halde ölüme inanmadığın için.
❤Nâzım Hikmet❤
Mutluluk diliyorum yeni günden 00:00",2022-06-15 21:00:18+00:00,1
1536458790802972673,"saçlarının gölgesinde
ölmek ne güzeldi",2022-06-13 21:21:36+00:00,1
1495413883166760960,"Öyle güzel baktın ki, gözlerime
sevmek değil ölmek geldi içimden... ❤️",2022-02-20 15:03:47+00:00,1
1490420667614904334,sevmek biri için ölmek değil her şeye rağmen yaşayabilmek miş,2022-02-06 20:22:32+00:00,1
1490391945142751233,Halbuki sevmek biri için ölmek değil onun için yaşayabilmektir,2022-02-06 18:28:24+00:00,1
1489780520359759873,"Gülmek için bir tesadüf
Beklemenin anlamı yok
Yaşamamız bir tesadüf
Hayat zaten bir tesadüf
Ölmekten de gülmekten çok
Sevilmekten de sevmekten çok...05.00",2022-02-05 01:58:49+00:00,1
1608551263037435904,"✨2023’te sağlıklı,güzel kararlar,mutluluk,septum piercing,+3.00 ortalama,pozitiflik,az ödev,wine date,özsaygı,dövme,düşük enflasyon,bisürü konser,kitap bitirebilme istikrarı,gerçekleşebilecek hayaller kurmak,bi sürü yeni deneyim,kızlarla tatil,anksiyetemin bitmesi,hayata heves✨",2022-12-29 19:51:21+00:00,1
1584421772166037505,Depresyon ve anksiyeteyle uğraşırken arkadaşlarımın yanımda olması 🖤🙏🏻,2022-10-24 05:49:22+00:00,1
1532802348350840836,"Bisikletimdeki ledler ve ışıklı kulaklığım ile saat 9.30-10.00 sularında semtte dolanıyorum. Anksiyetem sebebiyle bakışlar rahatsız etse de o hissi yaşamak istemek daha ağır basıyor. Kaliteli bir müzik listesi, hafif esen bir hava ve boş zihin...",2022-06-03 19:12:12+00:00,1
1477965571413225473,Sabah anksiyeteme iyi geleceğine inandığım bir kaç müzik dinledim. Çünkü bunların iyi geleceği yazıyordu okuduğum yazıda. Bir kaç gün denemek istiyorum. Faydalı olacağına umut koydum 🌟,2022-01-03 11:30:26+00:00,1
1608773661322014720,Elbette yeri geldiğinde üzülüp sinirlenicez insanız fakat hayattan zevk alarak yol çizmek ölümünü kıymetli yapar.,2022-12-30 10:35:05+00:00,1
1608113522378002432,Ama seenn çölüme yağmur oldunn,2022-12-28 14:51:55+00:00,1
1607477352539324418,Kürtçe çok güzel kelimeler var mesela Zanibim mirin heye taliye disa eze jite hezbikim.. (Sonunda ölüm olacağını bilsem yine severim seni)..💚,2022-12-26 20:44:00+00:00,1
1607412174292500481,"Eğer bu ölümse,ölümden korkmamalı.
Onun güzel yüzünde,ölüm bile güzeldi.",2022-12-26 16:25:01+00:00,1
1597057169874071552,"Sana yazamadığım için buraya yazıyorum.
Bir umut vardır hiç tükenmeyecek, bir hasret vardır çekilmeyecek, bir de ölüm vardır, bir gün elbet gelecek ama sana olan sevgim ne ölecek ne de bitecek. Doğum Günün Kutlu Olsun güzelim…💜",2022-11-28 02:37:55+00:00,1
1580861732888915968,"Ölüm olmasa, hesaba çekileceğim gün olmasa yinede en doğru insan olmayı, kimseyi kırmamayı, başımı yere eğdirmeyecek davranışlar sergilemeyi tercih ederdim. Teşekkürler Allahım, bana bu yüreği verdiğin için🤲🏻🌿",2022-10-14 10:03:02+00:00,1
1578888288454471681,Saat 02.00 annem mesaj atmış . Bu gün evimizin neşesi azalalı tam iki hafta oldu diye . Anneler keşke ölümsüz olsa,2022-10-08 23:21:16+00:00,1
1549861714455412737,Ölüme Yok çare gerisi hallolur 00:00,2022-07-20 21:00:02+00:00,1
1540376295925751808,"Heeey millet! 28 Haziran Salı, Saat 20.00'de #BirZümrütYeşiliÖlüm geliyor! Of aşırı heyecanlıyım nasıl salı olacak hiç bilmiyorum🖇💚",2022-06-24 16:48:22+00:00,1
1529126255559311361,Ölümün takvimi yok başınız dik yaşayın.💫,2022-05-24 15:44:43+00:00,1
1490677436136267780,"Ev telaşı, kırık kol, Covid 19 demeden sınavlara 1 gün önceden çalışarak dönemi 3.00 ortalama ile bitirmişim ölüm bile yetiyor yaa. Maaaşallah diyin bana. 🧿",2022-02-07 13:22:50+00:00,1
1585119666527010817,"Biraz depresyon başlamıştır ve o sırada dostlarım:

I’mma give you the world

I’mma buy a diamond ring for you

I’mma sing for you

I’ll do anything for you to see you smile
🖤🤍",2022-10-26 04:02:33+00:00,1
1559287410235740160,"Az once bugunun dogum gunum olmasiyla alakali depresif bir tweet aticaktim ama bir arkadasimin tam 00.00da attigi dogum gunun kutlu olsun mesajini gordum ve su an dunyanin en mutlu insaniyim, kucuk seylerin insani bu kadar mutlu edebilmesi inanilmaz",2022-08-15 21:14:23+00:00,1
1594802003984654356,"Hey Kendim..!
İçini ferah tut,endişelerini dindirmeye çalış.Bugün olman gereken yerdesin,yarın olman gereken yerde olacaksın..
00:16",2022-11-21 21:16:42+00:00,1
1482314164416696321,"Aslında dün 00.00 da birinin doğum gününü kutlayacaktım ama o kadar endişelenmiştim ki kaybolan insanlar için unuttum geç değildir umarım mutlu yıllar canısı
İyi ki doğdun 
İyi ki varsın 
Seviliyorsun 🥰🥺🌸🌸🌺🌺
@sanjookyy_",2022-01-15 11:30:11+00:00,1
