tweet_id,tweet,date
1344798002490314752,Kardesim (12) sevdigi cocuga 00:00 da ilan-i ask etmis cocuk simdi yazmis ki salak salak konusma,2021-01-01 03:10:03
1344799527673470977,Bu yılbaşı da saat tam 00:00'da swni seviyorum mesajı gelmedi.,2021-01-01 03:16:07
1344799907719348226,"tam 00.00da naptınız ben her yıl tam bu vakit dinlediğim şarkıyı açtım balkona çıktım, bir iki havaifişek gördüm, aaa dedim (tam bu uzunlukta şaşırdım aaa, ne eksik ne fazla), sevindim, içeri girdim sonra, jelibon yiyerek alice in wonderland izledim, kapanış",2021-01-01 03:17:37
1344800782802165762,00:00'da havai fişek gösterisi yapıldı tam dibimizde ancak kafamı bile çevirmedim öyle bir hevessizlik... Öyle vurdumduymazlık... Bezmişlik...   Yoksunluk eklerince...,2021-01-01 03:21:06
1344805589990453249,31 aralık saat 00.00 da yeni yılımızı kutlayan birisi yine olmadı bu yıldanda fazla umutlanmayın🙃,2021-01-01 03:40:12
1344838906609606658,Saat 23:00 olmadan sızmışım.  Bütün senenin yorgunluğu vardı üzerimde umarım 2021 daha huzurlu geçer hepimiz için.,2021-01-01 05:52:35
1344845204965232640,yalnızlıktan ve sıkıntıdan şimdide kitaplara sardım.,2021-01-01 06:17:37
1344856870759129088,askerde 9da yat emri alıp uyuyup gece tam 00.00 da arayıp 'yeni yılımız kutlu olsun sevgilim' diyor. En büyük şansımsın 🥰,2021-01-01 07:03:58
1344893883554164736,"Dertlerimi yazıyorum buraya, herkes beğeniyor, arkadaşlar bunlar beğenilecek şeyler değil, dert..",2021-01-01 09:31:03
1344898883265114112,minho tam 00.00'da bize mutlu yıllar demiş ve bizi sevdiğini söylemiş? neden kimse bunu konuşmuyor? ağlamak üzereyim bu çocuk yüzünden,2021-01-01 09:50:55
1344898941247234048,sabah uyandım ve insta storylerini izlemeye başladım herkes gülüp eğleniyor  herkes yılbaşını kutluyor çam ağaçları led ışıklar vs vs olum siz bu hayatı ne kadar çok seviyorsunuz lan yemin ederim yorgunluktan uyuya kalmışım 00.00 bile göremedim,2021-01-01 09:51:09
1344901615875219456,aga uyumuşum beklemedim 00.00'ı LSQWDKEÖAKWÖSJ neyse mutlu yıllar,2021-01-01 10:01:46
1344912142508679168,"Özel günlerde tam 00.00 olunca aranmayı aramayı çok severim... Bu sene ben aramadım, arayan olmadı :)",2021-01-01 10:43:36
1344915159039545344,Dün herkes gerçekten hazırlanıp süslenmiş kutlama yapmış yaşama sevincine bak.. İyi bende nolsun ya pijamalarımla oturup 00.30 da uyudum,2021-01-01 10:55:35
1344916818071351299,"Böyle kepaze bir uyanış yok. Saat 08:00, dışarısı karanlık diye gece zannediyorum. Ve yine uyumaya çalışıyorum",2021-01-01 11:02:11
1344917970733191168,"Tohumu olsa diyorum bazen sevginin. 
Olsada eksem...
Sevmeyi bilmeyen yüreklere...",2021-01-01 11:06:46
1344924922829811712,Geçen sene bugüne öğrenci evinde kızlarla 100lük rakı devirmeli ve 00.00 a manitayla görüntülü konuşarak instaya aşk dolu fotolar atarak girmiştim sabahına mutlu bir prenses olarak uyanmıştım şimdi ise çalışarak başladım söyleyeceklerim bu kadar,2021-01-01 11:34:23
1344926821339586561,Dün bana zaten 00:00dan önce mutlu yıllar mesajı atmış bazı insanlara 00:00dan sonra bidaha ben mesaj atmışım insan kendini nasıl rezil edeceğini bilemiyo,2021-01-01 11:41:56
1344927040227700738,Nerdeyse 10 senedir her yılbaşında kar küresi ve 00:00 da seni seviyorum mesajı bekliyorum ama ikisi de gelmiyor ben artık yeni yıldan da aşktan da umudumu kestim,2021-01-01 11:42:48
1344927167612907521,"hahshahaha 00.00 da görüntülü aramayla yeni yıla girmişiz, ekran kaydı almışım bi de. böyle bi heyecan yok, yeni yıla girdik diye delirmişim mutluluktan ahshahahsbbs",2021-01-01 11:43:18
1344938961966395393,00.00 da sevgililer birbirine  yeni yıl mesajı atıyormuş uzun uzun ben onu unutmuşum.. nasıl bir yalnızlık içindeysem bu tür detayları duyunca hee öyle bir şey vardı dimi lan diyorum,2021-01-01 12:30:10
1344941504872255488,dün gece tüm arkadaşlarım sevgi dolu mesajlar ses kayıtları fotolar atmış ben 00.30’da uyuyakaldığım için hepsini sabah gördüm offf o kadar şanslıyım ki bu konuda lütfen hep benim arkadaşım olmaya devam edin 🥺💖💖,2021-01-01 12:40:17
1344945247302934528,dün 00.00 da bana mesaj atan flörtlerim hepinizi çok seviyorum.,2021-01-01 12:55:09
1344950380325703680,Sana bir şeyleri düzeltmen için 00:00’a kadar vakit vermiştim. DÜZELTEMEDİN:) bensiz hayatında mutluluklar,2021-01-01 13:15:33
1344952459412824064,Yeni yıla girerken saat 00:00'da herşeye tekrardan başlayalım mesajı beklerdim ama hayal kurmayalım ya...........,2021-01-01 13:23:48
1344955025446023170,"Ufacık dahi bir umutla bile 00.00 da elimde telefon mesaj beklemedim.
Çünkü uyuyodum...",2021-01-01 13:34:00
1344966228742385664,erkek kardeşimle(13) konuşuyorum gece 00:00’da biri seni seviyorum yazmış kim o diyorum eskiden çıktık diyo ee soyadı falan ne diyorum bilmiyorum ki ayıp olmasın diye çıktım diyo erk*k ırkı yok olmalı ya,2021-01-01 14:18:31
1344988114775904256,"Sevgili yaptığını, hamile olduğunu vs. söylemek için dün gece 00:00'ı bekleyen minnoş insanlar. Biz bu kadar önemsemiyoruz ki bunu. :)",2021-01-01 15:45:29
1344990281507221505,"2026 ya girerken tam 00.00'da telefona bi bildirim düşer herkes yeni yıla girsin sen kalbime gir , hayal mi ? gerçek mi ?",2021-01-01 15:54:06
1345003699974901760,"00.00' da sevinip 
00.02' de eski halimize dönmek bunu sadece yaşayanlar anlar",2021-01-01 16:47:25
1345015918762618881,Yılbaşında tam 00.00da tivit atcak kadar hayatsiz olmadığım icin seviniyorum,2021-01-01 17:35:58
1345024107134541824,00:00 herkes geri sayım yaparken kim mutluydu hepsi yalan aq,2021-01-01 18:08:31
1345035295121694720,1 Ocak 2021 saat 14.00 itibariyle anlaşılmıştırki bu yılda bu ülkede huzur olmayacak.,2021-01-01 18:52:58
1345047471509143555,monotonluk beni depresyon uçurumundan tekmeyle aşağıya fırlatıyor helppp,2021-01-01 19:41:21
1345075845069680641,"Olm tam 00.00da Ölümlü Dünya denen sikko filmi bitirdik annemle. Gram mimik oynamadı, sizin ben neyse :))) İnş bi daha böyle hatalar yapmam",2021-01-01 21:34:06
1345082682968068096,Ben bu yılı sevmedim 00:00 da kalsam olmaz mı,2021-01-01 22:01:16
1345083239208251392,"YeniYıldan Umudum
Dünyada özgürlük hakim olsun.",2021-01-01 22:03:29
1345083933596262400,"Büyük hayaller, mafya",2021-01-01 22:06:14
1345085142214307840,"YeniYıldan Umudum

Zalim ve zulmü yerle bir olsun.",2021-01-01 22:11:03
1345085230265364480,Her yıl 00:00'a girince yapılan aramalar ve mesajlaşmaları bu sefer ertesi sabaha bıraktım. Boşvermişliğimle birlikte girmiş olduğum bu yeni yıldan daha umutluyum. Hayat sen işini biliyosun hee,2021-01-01 22:11:24
1345085523795312644,Kızmayı bıraktığım gün unutacağım diye korkuyorum...’,2021-01-01 22:12:34
1345096029679603722,O tatlı rüyamda her şeyim vardı mutluydum niye uyandırdın lan sende gözünü kapatınca her şeyini kaybedeceksin,2021-01-01 22:54:18
1345106953584988161,az önce irem diyorki bende 00.00 da seni seviyorum yazacaktım iyiki hastanelik olmuşum MAMAKAHAHAAHAJSHAHHS,2021-01-01 23:37:43
1345109567684960256,"Sevgisiz zeka, neden küstahlığa başvuruyor ?",2021-01-01 23:48:06
